rank,appid
1,730
2,4165910
3,3751950
4,1623730
5,570
6,4704690
7,578080
8,2767030
9,230410
10,1172470
11,1675200
12,381210
13,881020
14,4032350
15,3240220
16,2483190
17,3513350
18,3405690
19,2399830
20,1174180
21,4380490
22,252490
23,703080
24,1973530
25,227300
26,2694490
27,1361210
28,202970
29,367270
30,3564740
31,1601570
32,3932890
33,1771300
34,1085660
35,236390
36,440
37,2244210
38,359550
39,1245620
40,1671210
41,2139460
42,3935020
43,1665460
44,2357570
45,4165870
46,3472040
47,2073850
48,1962700
49,2209900
50,3839790
51,1086940
52,2806050
53,553850
54,2073620
55,447040
56,2868840
57,1285190
58,2507950
59,2344520
60,526870
61,3768760
62,1943950
63,270880
64,1431300
65,3892270
66,892970
67,1091500
68,1336490
69,1142710
70,1203220
71,3041230
72,3241660
73,4508340
74,1984270
75,3159330
76,39210
77,2807960
78,2697940
79,3321460
80,2141910
81,1222670
82,1547000
83,3164500
84,2300320
85,431960
86,306130
87,2186680
88,413150
89,3527290
90,294100
91,1401590
92,454650
93,1118520
94,1449850
95,2749950
96,3765010
97,1374490
98,582660
99,376210
100,216150
101,2429640
102,2537590
103,2669320
104,427520
105,266410
106,1805110
107,284160
108,250900
109,311210
110,1158310
111,3017860
112,394360
113,1962663
114,1295660
115,1144200
116,1808500
117,739630
118,934700
119,346110
120,281990
121,12210
122,1604030
123,1190000
124,552990
125,4197610
126,1297900
127,2141730
128,2074920
129,1284210
130,3949040
131,371970
132,2019620
133,949230
134,3280350
135,1974050
136,438100
137,2183900
138,2138720
139,275850
140,2828860
141,4162040
142,1133870
143,2138330
144,4025700
145,3059520
146,1757300
147,1363080
148,1643320
149,648800
150,3469450
151,444200
152,3844970
153,1172620
154,4558480
155,1332010
156,518790
157,1599340
158,753640
159,1407200
160,945360
161,1326470
162,3679080
163,1913370
164,1364780
165,594650
166,1286830
167,489830
168,2778580
169,218620
170,2958130
171,1874880
172,251570
173,3028330
174,4376930
175,1151340
176,601150
177,105600
178,1203620
179,4558490
180,3606480
181,3720100
182,2358720
183,2622380
184,4735410
185,2948190
186,4435490
187,219990
188,2215200
189,2397300
190,1818450
191,380600
192,2567870
193,3834090
194,440900
195,2272360
196,3551340
197,2881650
198,2424420
199,1868140
200,714010
201,2001120
202,594570
203,2707930
204,1289670
205,4600470
206,4000
207,632360
208,291550
209,2456740
210,686060
211,3198890
212,2584270
213,493520
214,261550
215,813780
216,4121170
217,2661300
218,550
219,2651280
220,8870
221,4731620
222,3224770
223,2246340
224,1304930
225,1382070
226,960090
227,3764200
228,1919470
229,3557620
230,1569580
231,3787240
232,379430
233,4634560
234,3357650
235,1190970
236,835570
237,3124540
238,2221490
239,2904040
240,3105440
241,767560
242,2592160
243,1903340
244,2780810
245,508440
246,1857950
247,513710
248,463530
249,427410
250,4355570
251,761890
252,2763740
253,645630
254,2219390
255,1384160
256,286160
257,2881150
258,42700
259,221100
260,2479810
261,322330
262,268910
263,1966720
264,2584990
265,1371980
266,3404260
267,214950
268,1149460
269,1527950
270,2670630
271,645390
272,3948120
273,285900
274,2432860
275,377160
276,304390
277,322170
278,766570
279,3164330
280,1659040
281,2161700
282,4128580
283,1272080
284,364360
285,244210
286,1938090
287,1621690
288,2054970
289,391220
290,2426960
291,1040200
292,2688950
293,4634490
294,2385530
295,246620
296,4013290
297,2379780
298,2288340
299,3940610
300,4496580
301,1284190
302,391540
303,1466860
304,1778820
305,1041320
306,779340
307,4496660
308,1716740
309,4800590
310,2668510
311,4090980
312,976730
313,1426210
314,4182480
315,3010850
316,2764370
317,3061570
318,1313140
319,1940340
320,1426300
321,1465360
322,1426210
323,4244510
324,2071280
325,552500
326,3710910
327,4584110
328,242760
329,2406770
330,2129530
331,750920
332,1145350
333,1229490
334,3244220
335,3643170
336,3552140
337,2495100
338,282140
339,784150
340,1010822
341,4148240
342,1952520
343,1049590
344,374320
345,4496530
346,312520
347,2186990
348,631510
349,457140
350,3678970
351,3022790
352,3079210
353,3024040
354,255710
355,2399420
356,389730
357,2437170
358,1030300
359,815370
360,3214610
361,2968420
362,1172710
363,1206560
364,962130
365,393380
366,1669000
367,1260320
368,2075800
369,1934680
370,2004210
371,1677110
372,880940
373,4148930
374,2927200
375,359320
376,799960
377,367520
378,2322010
379,570940
380,3219030
381,1167630
382,1607250
383,304050
384,1583230
385,3052450
386,2215430
387,4200760
388,3156770
389,400750
390,3097560
391,3186540
392,1180320
393,3483400
394,2852190
395,1875580
396,4394810
397,585420
398,1631270
399,3725110
400,2819400
401,3419520
402,529340
403,4510830
404,4447660
405,3347400
406,2625420
407,1796470
408,3167020
409,3463400
410,1476970
411,1721470
412,4069520
413,3265230
414,1272320
415,4496550
416,2531310
417,2446600
418,2506480
419,701160
420,1184370
421,262060
422,466560
423,1783560
424,9900
425,2835570
426,2604420
427,289070
428,1066890
429,850190
430,1805320
431,1721110
432,3633760
433,3057670
434,3065800
435,2840770
436,3265700
437,2605790
438,1343400
439,2004680
440,4558510
441,4131670
442,756800
443,365360
444,3672400
445,2001760
446,3274580
447,589290
448,4373820
449,2747330
450,401920
451,329050
452,1687950
453,3186490
454,993090
455,1551360
456,4090360
457,3314340
458,4220440
459,784080
460,805550
461,1369670
462,2185060
463,1826140
464,3293010
465,1182900
466,233450
467,2827200
468,2536520
469,570660
470,304212
471,3199170
472,3075500
473,3483510
474,4496620
475,4227400
476,1761390
477,220200
478,3656800
479,1812450
480,2679100
481,602960
482,2963800
483,2050650
484,979110
485,3213120
486,2379740
487,2057760
488,2780980
489,2426530
490,3526710
491,985810
492,2863680
493,3405340
494,4496600
495,2769570
496,1824220
497,1617400
498,1766060
499,1062090
500,410340
501,1689620
502,2352620
503,1677280
504,1335200
505,1782460
506,502500
507,244850
508,2377930
509,2879840
510,1602000
511,2918150
512,4400940
513,3751260
514,3556750
515,3008130
516,2784470
517,3058630
518,204360
519,2963950
520,1129580
521,2168680
522,1963610
523,1471590
524,1209460
525,678950
526,655500
527,1372110
528,220440
529,3361510
530,325610
531,2904000
532,268500
533,3180070
534,4791830
535,3450310
536,203160
537,4226770
538,389430
539,204100
540,2416450
541,1575940
542,3219630
543,1010820
544,264710
545,1605220
546,233860
547,2431980
548,3936530
549,812140
550,238960
551,620980
552,3326230
553,3486960
554,1250410
555,3531720
556,2781620
557,1645820
558,4045750
559,2208920
560,292030
561,3070070
562,1056760
563,2362060
564,4241420
565,3228590
566,3337380
567,1746860
568,1627720
569,223750
570,2593290
571,24200
572,1888930
573,860510
574,107410
575,2737070
576,925580
577,1044720
578,1010821
579,824270
580,728880
581,361280
582,4224910
583,3412160
584,531130
585,1105420
586,1794680
587,1944430
588,1622100
589,1817070
590,2380740
591,620
592,3796290
593,2916430
594,1592190
595,2943650
596,926990
597,1466060
598,1573360
599,3489700
600,2288470
601,2016590
602,212500
603,3586990
604,1368820
605,1113410
606,633230
607,3784030
608,3478050
609,1451190
610,538030
611,2627570
612,2059190
613,1343370
614,516750
615,3473820
616,4538570
617,2239150
618,1089090
619,3645890
620,4318580
621,2325290
622,573090
623,1013320
624,1702010
625,2072560
626,673750
627,3195790
628,2230110
629,2863640
630,558244
631,22380
632,327070
633,4656920
634,1282270
635,2712950
636,368260
637,622650
638,897670
639,1942280
640,4496640
641,1593500
642,3669870
