appid,rank,prev_rank,rank_change
4836540,26,N/A,9166
3934250,29,N/A,9163
4421010,61,N/A,9131
3642010,133,N/A,9059
3997240,184,N/A,9008
4599710,208,N/A,8984
3938640,226,N/A,8966
3825600,245,N/A,8947
2939790,256,N/A,8936
4883590,325,N/A,8867
4252700,327,N/A,8865
2895680,329,N/A,8863
4127360,433,N/A,8759
4251710,460,N/A,8732
212500,528,N/A,8664
3010280,591,N/A,8601
4216280,596,N/A,8596
4924490,609,N/A,8583
2976110,719,N/A,8473
4915900,963,N/A,8229
569860,976,N/A,8216
3165050,994,N/A,8198
4241690,1160,N/A,8032
2109270,661,8532,7871
2419041,1411,N/A,7781
4608380,1584,N/A,7608
1444080,1677,N/A,7515
4065740,1921,N/A,7271
4314770,1942,N/A,7250
4449300,1968,N/A,7224
4754740,1969,N/A,7223
237310,1877,9099,7222
4738830,2119,N/A,7073
1059220,2168,N/A,7024
3406620,2206,N/A,6986
4054180,2207,N/A,6985
1390190,2257,N/A,6935
2210220,2295,N/A,6897
3601470,2313,N/A,6879
2124490,2316,N/A,6876
3186040,2354,N/A,6838
751630,2384,N/A,6808
2078230,2553,N/A,6639
4870370,2575,N/A,6617
218230,2610,N/A,6582
4617230,2651,N/A,6541
3284290,1303,7830,6527
2419042,2710,N/A,6482
571890,2736,N/A,6456
4711170,2762,N/A,6430
24200,763,7188,6425
3481460,2773,N/A,6419
2698470,2817,N/A,6375
2507820,2868,N/A,6324
466130,2879,N/A,6313
1696950,2894,N/A,6298
1516480,2605,8879,6274
550650,3023,N/A,6169
2957490,3033,N/A,6159
2694420,3082,N/A,6110
2560240,624,6720,6096
3621280,3104,N/A,6088
1691190,3107,N/A,6085
2486740,3141,N/A,6051
981750,3229,N/A,5963
880850,3288,N/A,5904
1144170,3316,N/A,5876
3813590,3385,N/A,5807
4981820,3394,N/A,5798
4640470,3297,9092,5795
4433730,3433,N/A,5759
1687670,2253,8006,5753
382110,2682,8402,5720
490920,3557,N/A,5635
4078870,3560,N/A,5632
3853790,3600,N/A,5592
1413480,3601,N/A,5591
3973840,1607,7194,5587
339610,3636,N/A,5556
1426450,1586,7129,5543
2338140,3665,N/A,5527
2419040,3670,N/A,5522
2140440,1593,7112,5519
3463200,3685,N/A,5507
3153670,3698,N/A,5494
1078760,3714,N/A,5478
4358110,3721,N/A,5471
4685890,3726,N/A,5466
1588090,3759,N/A,5433
1839680,3777,N/A,5415
1784570,3783,N/A,5409
2903950,1699,7075,5376
1245250,3851,N/A,5341
2654490,3746,9040,5294
3443620,3903,N/A,5289
2957480,3212,8492,5280
3287500,3930,N/A,5262
4216710,3939,N/A,5253
269950,2857,8093,5236
1712110,3984,N/A,5208
3023070,3986,N/A,5206
2959970,4023,N/A,5169
2659050,2192,7360,5168
1721060,3916,9021,5105
1134700,4148,9235,5087
1816300,4107,N/A,5085
3216800,4124,N/A,5068
1063580,4144,N/A,5048
4168330,4160,N/A,5032
1076160,4174,N/A,5018
2791440,1326,6337,5011
220440,4221,N/A,4971
2947280,3325,8278,4953
235540,4330,N/A,4862
2957470,4343,N/A,4849
1158420,4360,N/A,4832
4559740,4401,N/A,4791
2959610,4402,N/A,4790
2094810,4416,N/A,4776
2317640,1494,6232,4738
541210,4478,N/A,4714
3853680,4489,N/A,4703
311290,4497,N/A,4695
4128510,4501,N/A,4691
4344210,4516,N/A,4676
1475830,4517,N/A,4675
2957500,4524,N/A,4668
4890220,4531,N/A,4661
1702390,2199,6859,4660
4900910,4533,N/A,4659
4699110,3767,8401,4634
2313720,4559,N/A,4633
4640460,4572,N/A,4620
899440,4580,N/A,4612
4217460,4588,N/A,4604
1009560,4602,N/A,4590
1238020,4041,8629,4588
1021790,4608,N/A,4584
2790700,4621,N/A,4571
4654940,3002,7571,4569
2766810,4628,N/A,4564
383120,4644,N/A,4548
1998240,1558,6104,4546
2617460,4653,N/A,4539
3580160,4654,N/A,4538
1481340,4680,N/A,4512
1551160,4694,N/A,4498
2438680,4697,N/A,4495
3115530,4699,N/A,4493
3167260,4322,8811,4489
2461850,3694,8177,4483
3818010,712,5189,4477
554000,4726,N/A,4466
2435860,4729,N/A,4463
1465470,4760,N/A,4432
4071040,4771,N/A,4421
1425350,1506,5888,4382
2948500,4811,N/A,4381
2637990,3008,7385,4377
1880620,4301,8673,4372
4146260,4822,N/A,4370
1039890,4832,N/A,4360
3468640,4833,N/A,4359
304380,4841,N/A,4351
3756010,4848,N/A,4344
234080,4853,N/A,4339
1701720,2971,7308,4337
2165710,2438,6765,4327
2974360,4329,8648,4319
4491360,576,4893,4317
2707870,4886,N/A,4306
1425820,4895,N/A,4297
2455060,4922,N/A,4270
266840,3022,7283,4261
540840,4941,N/A,4251
1286710,3876,8125,4249
1999520,1863,6109,4246
2607060,1974,6206,4232
434650,4422,8649,4227
2680480,4980,N/A,4212
345180,4990,N/A,4202
1677980,1364,5552,4188
715310,4560,8745,4185
3238580,5007,N/A,4185
1184770,5013,N/A,4179
1097200,5035,N/A,4157
3382290,5053,N/A,4139
3920780,5077,N/A,4115
3248110,5078,N/A,4114
3125250,5079,N/A,4113
2516570,3674,7785,4111
250300,5146,9223,4077
1468260,5116,N/A,4076
251110,1209,5281,4072
3992260,5128,9184,4056
834910,5149,N/A,4043
1622910,2424,6461,4037
1328990,5174,N/A,4018
1250790,5210,N/A,3982
3255770,5228,N/A,3964
435440,5246,N/A,3946
1386630,5254,N/A,3938
1281590,1048,4979,3931
2678080,4205,8133,3928
1522090,5266,N/A,3926
1695830,5281,N/A,3911
1255560,1753,5653,3900
2359470,4807,8705,3898
1938050,5295,N/A,3897
1536090,5304,9199,3895
997380,5298,N/A,3894
1065520,5306,N/A,3886
3130340,5308,N/A,3884
3034340,5309,N/A,3883
2218560,4762,8632,3870
1840800,3713,7579,3866
3062740,5328,N/A,3864
1310410,5331,N/A,3861
1998330,5104,8954,3850
2055290,4915,8746,3831
2737300,4627,8446,3819
678800,3752,7561,3809
842780,4016,7819,3803
4377370,4801,8598,3797
3570230,5398,N/A,3794
1434950,5405,N/A,3787
4018020,5412,N/A,3780
3739670,5419,N/A,3773
2669860,5427,N/A,3765
206522,5433,N/A,3759
350080,5088,8845,3757
320430,5112,8857,3745
579180,5457,N/A,3735
2131650,5459,N/A,3733
3931060,5462,N/A,3730
1490890,5482,N/A,3710
3234720,5494,N/A,3698
4264260,4512,8201,3689
555950,4100,7771,3671
2658450,3462,7123,3661
1567020,941,4589,3648
1981570,5544,N/A,3648
984680,5527,9166,3639
3180240,5556,N/A,3636
1146630,5559,N/A,3633
4128140,3217,6844,3627
4291500,2974,6597,3623
1778840,5578,N/A,3614
553310,4772,8383,3611
4767260,5105,8711,3606
3858850,5598,N/A,3594
598980,4956,8549,3593
2430370,5614,N/A,3578
1200770,4283,7856,3573
2055140,4714,8280,3566
833360,5630,N/A,3562
2638250,5636,N/A,3556
675690,1180,4731,3551
3494520,5643,N/A,3549
4078910,4623,8169,3546
3353390,4764,8293,3529
332350,4567,8085,3518
224480,5679,N/A,3513
1287840,5680,N/A,3512
798390,5681,N/A,3511
1785150,892,4402,3510
3376360,5683,N/A,3509
458750,5687,N/A,3505
1280780,5688,N/A,3504
1702330,5694,N/A,3498
2000210,5707,N/A,3485
908360,5716,N/A,3476
4900920,5718,N/A,3474
1658280,5720,N/A,3472
290340,5745,N/A,3447
1153410,240,3685,3445
1354230,5752,N/A,3440
1593360,4910,8346,3436
375530,4684,8117,3433
3057670,5762,N/A,3430
4075280,5763,N/A,3429
2187300,5768,N/A,3424
2849030,5769,N/A,3423
939850,1263,4676,3413
636970,5780,N/A,3412
227260,5696,9095,3399
844960,5795,N/A,3397
2307220,5801,N/A,3391
687800,5804,N/A,3388
3251300,5818,N/A,3374
2060130,5595,8963,3368
1883000,5859,9218,3359
1071870,313,3665,3352
1062830,5849,N/A,3343
49540,5604,8941,3337
1277400,5337,8671,3334
2790730,5867,N/A,3325
1622350,5868,N/A,3324
3663840,5872,N/A,3320
4128550,5877,N/A,3315
1233880,5214,8528,3314
237990,5883,N/A,3309
1280080,5887,N/A,3305
245490,5898,N/A,3294
1407180,5907,N/A,3285
774861,5697,8979,3282
1368130,5910,N/A,3282
707010,731,3998,3267
1194630,1292,4557,3265
2445840,5934,N/A,3258
2147380,5943,N/A,3249
551170,2048,5295,3247
468920,5189,8423,3234
4165620,5959,N/A,3233
1260520,4752,7983,3231
473770,5548,8776,3228
4350150,3888,7110,3222
1983260,5975,N/A,3217
1056960,4970,8185,3215
2064810,5969,9171,3202
1804470,5600,8795,3195
293780,6000,N/A,3192
1340480,5545,8736,3191
2943670,6001,N/A,3191
3363030,6002,N/A,3190
1082710,4736,7925,3189
991270,6008,N/A,3184
503580,4844,8022,3178
2193540,6022,N/A,3170
2369580,5976,9142,3166
1905940,6041,N/A,3151
1638300,6043,N/A,3149
2812940,6054,N/A,3138
2445730,6062,N/A,3130
2957460,6070,N/A,3122
2205330,6072,N/A,3120
694130,5474,8583,3109
1243200,6083,N/A,3109
528550,6094,N/A,3098
4139560,6107,N/A,3085
1048920,6108,N/A,3084
3975500,6109,N/A,3083
1869780,3828,6910,3082
2970840,6115,N/A,3077
1909240,6128,N/A,3064
699920,6133,N/A,3059
40990,6136,N/A,3056
2743790,5213,8267,3054
2011820,6141,N/A,3051
352720,5632,8677,3045
609150,6160,N/A,3032
57690,6161,N/A,3031
432350,5878,8905,3027
94400,6167,N/A,3025
1646580,6169,N/A,3023
337000,3841,6860,3019
3617620,5772,8791,3019
2264140,6175,N/A,3017
403190,6179,N/A,3013
4496350,6181,N/A,3011
3575980,4359,7369,3010
2667120,6183,N/A,3009
440310,5285,8286,3001
2178480,4449,7446,2997
3582430,5383,8376,2993
3902430,6202,N/A,2990
301640,6208,N/A,2984
2272330,4376,7359,2983
2199420,6209,N/A,2983
3951500,6210,N/A,2982
645730,6211,N/A,2981
951240,1152,4131,2979
4103060,6171,9150,2979
2432430,6214,N/A,2978
3908810,6215,N/A,2977
2725260,4631,7604,2973
274940,6221,N/A,2971
238010,4767,7736,2969
201230,6224,N/A,2968
2375550,6233,N/A,2959
486860,6242,N/A,2950
602320,6247,N/A,2945
1222300,6248,N/A,2944
2662430,6253,N/A,2939
2506610,6267,N/A,2925
