rank,appid
1,1422450
2,2719590
3,2769570
4,4534960
5,1774880
6,4199910
7,4115450
8,2109770
9,4824610
10,1846700
11,1757350
12,3751260
13,2050420
14,4165890
15,2381520
16,4095380
17,2272360
18,2963950
19,2638890
20,2929250
21,3558670
22,1867240
23,3727390
24,2590240
25,2873440
26,2075800
27,3710600
28,3292470
29,2814860
30,2582960
31,1340720
32,1488490
33,4077740
34,3669870
35,2231020
36,1940080
37,3016620
38,3978820
39,2340970
40,4656000
41,1280190
42,4126040
43,3949550
44,2288340
45,2724650
46,1313230
47,2956040
48,4358690
49,3010850
50,4743930
51,2828710
52,2179480
53,3864580
54,2439280
55,3255110
56,2861080
57,1687540
58,2610770
59,1228610
60,2318330
61,2649560
62,3161310
63,4231820
64,3337850
65,1952620
66,1752080
67,1373910
68,3073940
69,2692660
70,4078430
71,3393110
72,1586260
73,3281420
74,3809270
75,4260840
76,1536500
77,2454980
78,2161710
79,4228810
80,2239770
81,2090210
82,3624140
83,2849490
84,1818140
85,2153760
86,2887580
87,3788800
88,3230960
89,4031890
90,2165810
91,4435490
92,1257610
93,3517740
94,1614330
95,3493540
96,1416070
97,2235430
98,2295170
99,3283240
100,4150720
101,3078150
102,2437390
103,1579420
104,2254990
105,4614080
106,3092530
107,2855590
108,2800370
109,4767480
110,2871520
111,1572000
112,3426150
113,2412960
114,2055770
115,1667040
116,3199500
117,3218230
118,2924520
119,2208810
120,4258290
121,4348760
122,3642910
123,3629430
124,1388550
125,2713000
126,388860
127,3401960
128,2063390
129,2254950
130,1636440
131,4293910
132,3230430
133,4354570
134,2617340
135,3669620
136,3516100
137,1400830
138,3259780
139,4369620
140,3669200
141,3219630
142,3126410
143,3633680
144,3767320
145,3859630
146,3219030
147,1701840
148,2376260
149,2705130
150,4317690
151,1977610
152,2708860
153,1551980
154,4198090
155,3970690
156,1203170
157,1728620
158,3581230
159,2595260
160,3751230
161,3371050
162,4146000
163,3209660
164,2141130
165,1731290
166,3796990
167,2315050
168,2838950
169,2339840
170,1559720
171,1912410
172,3571870
173,3260750
174,3620480
175,2977260
176,1670650
177,4665290
178,3590650
179,1173980
180,3942260
181,2885380
182,1739080
183,3041680
184,1373530
185,2470010
186,1685310
187,4576490
188,2828020
189,3563080
190,2359600
191,3115160
192,3079190
193,4829700
194,1401370
195,1209970
196,2024600
197,2768300
198,3905450
199,1857810
200,895160
201,1723610
202,3875690
203,3973300
204,1327040
205,1967610
206,3055670
207,2177510
208,1672320
209,3448650
210,3524720
211,1798230
212,2320980
213,3333850
214,2131860
215,2536510
216,4328440
217,2388620
218,914210
219,2333000
220,2947860
221,612400
222,4687500
223,2948730
224,3031890
225,4171850
226,3271280
227,2798330
228,3438920
229,3424730
230,3327430
231,2168390
232,3816030
233,3660710
234,311810
235,4210060
236,3423280
237,2295060
238,1963680
239,2017940
240,2192380
241,2550530
242,2701030
243,3729700
244,3183760
245,2411280
246,1637460
247,1853440
248,499170
249,3195440
250,2387670
251,4225980
252,1741170
253,2865960
254,306910
255,4094350
256,1727760
257,3023930
258,3238940
259,3767660
260,3216520
261,1661330
262,763310
263,3645160
264,1699050
265,4212050
266,3295000
267,2239670
268,4019220
269,4498220
270,3522600
271,4005900
272,3184960
273,939530
274,2365790
275,3883570
276,3355360
277,3677050
278,1510440
279,3851260
280,3062170
281,4894750
282,3512480
283,3102780
284,4221910
285,1898920
286,4311530
287,3847920
288,1490930
289,3856530
290,2967950
291,3486530
292,3245140
293,3345210
294,3793200
295,4253010
296,2975260
297,3708010
298,3564490
299,2796640
300,3757140
301,2193600
302,881940
303,1363940
304,3714450
305,1994000
306,4729320
307,2121510
308,3014650
309,2872300
310,3983000
311,2675650
312,3211720
313,1799840
314,1883810
315,3314580
316,1374860
317,3247960
318,2400840
319,2223980
320,3204330
321,2326200
322,2190700
323,4400930
324,3645050
325,3086590
326,2512880
327,2753930
328,3765640
329,4182190
330,2146290
331,3000460
332,2638690
333,2988120
334,3077640
335,4094660
336,3617830
337,2786710
338,2957360
339,4259190
340,4189120
341,3545560
342,2487190
343,3752650
344,3581730
345,2152500
346,1332100
347,2882720
348,3485810
349,1051440
350,1340380
351,1255460
352,3499590
353,4213030
354,2402470
355,1675680
356,4084710
357,3569420
358,2889030
359,2805070
360,4440650
361,4502890
362,3224600
363,3470140
364,1540720
365,888780
366,3010270
367,4048520
368,2587620
369,3647010
370,2551550
371,3560670
372,4171660
373,3218570
374,1706510
375,3270430
376,3560050
377,2638080
378,2287430
379,4788240
380,3956640
381,2988030
382,1884870
383,3884860
384,3218350
385,2261380
386,3131640
387,4102480
388,3710210
389,771800
390,2916700
391,4659620
392,3392040
393,2421750
394,3895110
395,3841510
396,1787230
397,950660
398,3509420
399,2468200
400,2566700
401,3910680
402,3886530
403,2302470
404,2185510
405,4533950
406,4111570
407,862750
408,2100020
409,2578510
410,4664240
411,3090810
412,1872800
413,3639060
414,4910490
415,1891280
416,3725190
417,2712590
418,3333990
419,2175840
420,3276190
421,1747470
422,1792460
423,2353050
424,1840880
425,2738170
426,1256270
427,2785740
428,3734220
429,3749870
430,2924540
431,1631920
432,3668850
433,4174160
434,4651830
435,1675260
436,2572040
437,4093320
438,2303200
439,4119710
440,3223070
441,2526570
442,4657920
443,3937470
444,4982940
445,3702100
446,3749580
447,3793190
448,4536610
449,2067820
450,3511540
451,2439770
452,4245560
453,3462190
454,4279630
455,4253770
456,3730310
457,4669960
458,792610
459,3061930
460,4492060
461,3703360
462,4465790
463,3763840
464,3582810
465,3299050
466,3081510
467,4162340
468,2189430
469,1752990
470,3281970
471,2915730
472,1976830
473,3499790
474,3216600
475,2710740
476,3299920
477,3668330
478,4080220
479,3489340
480,3274530
481,1166890
482,1979810
483,1777480
484,4713940
485,3031880
486,2680280
487,2362260
488,2742920
489,4057480
490,2239640
491,3710850
492,3639070
493,1547540
494,2744160
495,4518240
496,2556470
497,3166050
498,2669060
499,3596430
500,3680100
501,1578940
502,4393700
503,3918200
504,1561740
505,3393280
506,2981340
507,4061170
508,2961930
509,2348250
510,2088020
511,3299300
512,3707530
513,3748520
514,1215940
515,3222640
516,3012600
517,1159390
518,1146670
519,2796220
520,2979810
521,3787050
522,3211430
523,2601540
524,3195580
525,2210150
526,3051160
527,2559370
528,3439880
529,3606970
530,2402680
531,3997960
532,3694600
533,3447280
534,3591510
535,4632350
536,1593010
537,3245640
538,4859110
539,3107870
540,3833280
541,1154960
542,4890760
543,4928450
544,2445260
545,4244910
546,2593320
547,3015820
548,3405880
549,2509360
550,2915770
551,3574750
552,2914820
553,1447250
554,3001740
555,2902170
556,3107290
557,4112270
558,4502750
559,4623290
560,2409320
561,3183480
562,4175180
563,2852700
564,4223290
565,1113400
566,3373500
567,4418080
568,4434610
569,4253570
570,3141390
571,1053900
572,2960460
573,2434830
574,3963620
575,3802140
576,2478130
577,3595450
578,1906190
579,2522120
580,2786760
581,3871670
582,2251970
583,4267860
584,4554250
585,1207360
586,4533250
587,4072240
588,4230950
589,1186430
590,3305930
591,1624930
592,3631230
593,687440
594,3008640
595,1917990
596,2900640
597,2600920
598,1792100
599,3115870
600,2663960
601,4358660
602,860210
603,2872240
604,1779540
605,3058660
606,2640090
607,2893350
608,4414560
609,1779610
610,2409660
611,3883910
612,2987350
613,2781660
614,2593290
615,2614370
616,4683260
617,2067210
618,4687860
619,3799530
620,4119090
621,2826790
622,4781330
623,4239670
624,4089140
625,3094690
626,4413070
627,4732690
628,3669430
629,1149450
630,4108680
631,4686110
632,3676410
633,1622130
634,2262630
635,2974160
636,2160070
637,4067370
638,3176500
639,4348910
640,4029090
641,2302120
642,3798860
643,3699590
644,2193150
645,3201730
646,2589980
647,2573060
648,1460210
649,3756700
650,1505940
651,4317460
652,4251460
653,1260940
654,4078190
655,2710040
656,3664440
657,2082980
658,3185060
659,2789680
660,2946850
661,4767090
662,2251170
663,3778820
664,4124340
665,443190
666,2961860
667,3268370
668,4753290
669,4151300
670,3983860
671,2960250
672,1748280
673,4328820
674,4661070
675,4259360
676,3397040
677,969330
678,4115300
679,2261560
680,3925150
681,3456950
682,2544820
683,2616540
684,4557380
685,1937070
686,3812830
687,4170840
688,3154460
689,3498720
690,4459590
691,3864190
692,3989240
693,2708040
694,1443980
695,2530870
696,1104600
697,1101370
698,3225880
699,4358270
700,4461460
701,2843060
702,3838790
703,4876650
704,994680
705,3587020
706,3596040
707,3434920
708,3078140
709,2975680
710,4413130
711,3078760
712,2397320
